"nombreVacante","empresa","ubicacion","sueldo","verificada","categoria","subcategoria","educacionMinima","contratacion","horario","espacioDeTrabajo","descripcion"
"Bañador de perritos","UNIDAD DE SERVICIOS CO...","Celaya,, Gto.","$9,000 - $10,000 Mensual",true,"Veterinaria - Agricultura","Estética canina","Bachillerato","Permanente","Tiempo completo","Presencial","¡¡SÉ PARTE DE NUESTRA COMUNIDAD DE PET PARTNERS COMO BAÑADOR DE PERRITOS EN PETCO CELAYA.




ESTAMOS CONTRATANDO BAÑADOR CANINO - NO NECESITAS EXPERIENCIA

Ofrecemos:

Sueldo base mensual de $8,875.00 + Bono $1,183
Aumentos Salariales conforme subas de Categoría
Prestaciones de Ley y Superiores
Descuentos en PETCO del 20 al 40%
Capacitación continua / Curso de estética canina ¡GRATUITO!
Plan de crecimiento, te capacitamos para ser ESTILISTA CANINO PROFESONAL




Requisitos:

Amor y trato directo con mascotas
Experiencia en el baño de mascotas (puedes ser con tus propios perritos)
Disponibilidad de horario (NO ESTUDIANTES, SE ROLAN TURNOS DE 8 HORAS).
Gran actitud de servicio, organizado, trabajo en equipo.
Constancia de Situación Fiscal Actualizada




Funciones:

Bañado de perros y gatos.
Apoyo con recepción de mascotas
Asesoría al cliente en cuanto al mejor corte para su mascota.
Apoyo de limpieza en el área
Turnos rolados lunes a domingo, un descanso entre semana
Horarios: 8am a 5pm, 10am a 7pm, 12:00 a 9pm"
"Ejecutivo marketing","Los Rones","Veracruz,, Ver.","$10,000 - $12,000 Mensual",false,"Mercadotecnia - Publicidad - Relaciones Públicas","Mercadotecnia","Universitario titulado","Permanente","Tiempo completo","Híbrido","Vacante: Marketing y Redes Sociales para Rones




¿Te gustan los perritos y eres bueno creando contenido? ???




En Rones buscamos a alguien que se una a nuestro equipo para:




? Realizar ediciones de fotos y videos

? Diseñar memes y publicaciones creativas

? Manejar redes sociales con estilo fresco y amigable

? Apoyar con ideas de marketing para promociones




?? Modalidad: Presencial

? Horario: Tiempo completo

?? Ubicación: Veracruz




?? Requisitos:

• Creatividad y proactividad

• Conocimiento en edición de imágenes y videos (Canva, CapCut o similar)

• Gusto por los perros y por generar contenido dinámico

• Experiencia manejando redes sociales (Facebook, Instagram, TikTok)




Si te interesa, mándanos un mensaje con tu CV y portafolio de publicaciones o memes que hayas hecho. ¡Queremos conocerte!"
"Encargado de sucursal para pensión de mascotas","La empresa es confidencial o no se encuentra disponible","Álvaro Obregón,, CDMX","$15,000 - $18,000 Mensual",true,"Administrativo","Administración de oficina","Bachillerato","Permanente","Tiempo completo","Presencial","Acerca de la empresa




Somos una empresa líder en el cuidado y bienestar de mascotas, comprometida con la calidad y la satisfacción de sus clientes. Trabajar con nosotros significa formar parte de un equipo dedicado y apasionado por brindar los mejores servicios a las mascotas caninas y sus dueños.




Ubicación: Álvaro Obregón, Ciudad de México.




Requisitos del puesto




Edad de 25 a 37 años
Bachillerato completo.
Conocimiento avanzado de razas de perros.
Experiencia en veterinaria de primer contacto.
Indispensable que tenga experiencia en gestiones relacionadas con mascotas.







Responsabilidades del puesto




Garantizar la calidad de los servicios de guardería, pensión y estética canina.
Mantener la limpieza y orden del negocio.
Supervisar al equipo asignado.
Registrar, controlar y reportar los servicios diariamente.
Recepcionar y entregar a las mascotas.
Atraer y fidelizar a clientes nuevos y existentes.







Prestaciones y beneficios adicionales




Sueldo mensual competitivo de 15000 a 18000 más comisiones.
Oportunidades de crecimiento y desarrollo profesional.
Ambiente laboral colaborativo y motivador.




Horario de trabajo: Lunes a Sábado de 09:00 a 18:00 horas."
"Bañador de perritos","UNIDAD DE SERVICIOS CO...","Coyoacán,, CDMX","$9,000 - $10,000 Mensual",true,"Veterinaria - Agricultura","Estética canina","Bachillerato","Permanente","Tiempo completo","Presencial","¡¡SÉ PARTE DE NUESTRA COMUNIDAD DE PET PARTNERS COMO BAÑADOR DE PERRITOS EN PETCO PUNTO MAQ.




ESTAMOS CONTRATANDO BAÑADOR CANINO - NO NECESITAS EXPERIENCIA




UBICACION: COYOACAN, CDMX.




Ofrecemos:

Sueldo base mensual de $8,875.00 + Bono $1,183
Aumentos Salariales conforme subas de Categoría
Prestaciones de Ley y Superiores
Descuentos en PETCO del 20 al 40%
Capacitación continua / Curso de estética canina ¡GRATUITO!
Plan de crecimiento, te capacitamos para ser ESTILISTA CANINO PROFESONAL




Requisitos:

Amor y trato directo con mascotas
Experiencia en el baño de mascotas (puedes ser con tus propios perritos)
Disponibilidad de horario (NO ESTUDIANTES, SE ROLAN TURNOS DE 8 HORAS).
Gran actitud de servicio, organizado, trabajo en equipo.
Constancia de Situación Fiscal Actualizada




Funciones:

Bañado de perros y gatos.
Apoyo con recepción de mascotas
Asesoría al cliente en cuanto al mejor corte para su mascota.
Apoyo de limpieza en el área
Turnos rolados lunes a domingo, un descanso entre semana
Horarios: 8am a 5pm, 10am a 7pm, 12:00 a 9pm"
"Médico veterinario","TocToc VET","Zapopan,, Jal.","$2,300 - $2,800 Mensual",false,"Veterinaria - Agricultura","Médico veterinario","Universitario sin titulo","Permanente","Medio tiempo","Híbrido","Acerca de la empresa




'TocToc VET' es una clínica veterinaria líder en el cuidado de mascotas en Zapopan, Jalisco. Con más de 3 años de experiencia, nos enfocamos en brindar servicios de alta calidad y atención individualizada a nuestros clientes y sus mascotas. En TocToc VET, valoramos el bienestar de nuestros empleados y fomentamos un ambiente de trabajo colaborativo y de crecimiento profesional. Ubicación: Solares, Zapopan, Jalisco.




Requisitos:

2 años de experiencia comprobable en clínica y cirugía de animales de compañía
Excelente trato con el cliente
Empatía con los tutores
Amor por las mascotas
Proactividad y trabajo en equipo.

Responsabilidades del puesto:

Brindar atención médica general a perros y gatos (consultas, revisiones, urgencias).
Aplicar protocolos de medicina preventiva: vacunación, desparasitación y orientación a tutores.
Interpretar análisis clínicos y pruebas diagnósticas.
Elaborar historias clínicas digitales con precisión.
Promover prácticas ""fear-free"" durante el manejo del paciente.
Comunicar diagnósticos y planes de tratamiento de forma clara, empática y profesional.
Participar en capacitaciones internas y contribuir al trabajo en equipo.

Ofrecemos:

Sueldo competitivo
Excelente ambiente de trabajo con enfoque ético y profesional.
Oportunidad de crecimiento
Instalaciones equipadas
Descuentos en servicios y productos veterinarios.




Si te apasiona la medicina veterinaria con propósito y quieres formar parte de un equipo comprometido con el bienestar animal, ¡te estamos buscando!

---TocToc VET – Donde tratamos a tus mascotas como de la familia.




Tipo de puesto: Medio tiempo

Sueldo: A partir de $2,500.00 a la semana

Horas previstas: 36 por semana

Beneficios:

Descuentos y precios preferenciales
Estacionamiento de la empresa
Opción a contrato indefinido
Vacaciones adicionales o permisos con goce de sueldo"
"Bañado canino sin experiencia petco Hipódromo $8,875+bono","UNIDAD DE SERVICIOS CO...","Naucalpan de Juárez,, Edo. Méx.​","$8,875 - $10,059 Mensual",true,"Veterinaria - Agricultura","Estética canina","Secundaria","Permanente","Tiempo completo","Presencial","En PETCO nos encanta la diversidad, el crecimiento profesional y sobre todo la gente, por ello ¡estamos en bu´squeda de nuestros pro´ximos Pet Partners como:




""BAÑADORES DE PERRITOS""




FUNCIONES:

Ban~ador de perros

Apoyo a los departamentos dentro de la tienda

Mantenimiento de equipo de trabajo y apertura y cierre de tienda




OFRECEMOS:

Sueldo aproximado de $8,875 aprox ma´s bono $1183.44.

Incremento de salario a los 2 meses

Prestaciones de Ley y Superiores

¡TE ENSEN~AMOS ESTE´TICA CANINA! (CURSO PROFESIONAL)

ADICIONALES:

Descuentos con PETCO del 20% al 40%

Descuentos con Office Depot, Radio Shack, Toks.

Apoyo de O´ptica, lentes gratuitos para ti y tu familia

Apoyo de u´tiles escolares

Caja de ahorro, prestamos de no´mina y prestamos de caja.

Capacitacio´n y crecimiento

Uniformes

No´mina al 100% declarada




¿QUE NECESITAS?

Amor a las mascotas

Tener amor por las mascotas e intere´s por la este´tica canina

¿Experiencia? ... ¡Puede ser con tus propias mascotas!

¡Importante! disponibilidad de horario, se labora de lunes a domingo con descanso entre semana y se rolan 2 turnos

)

PETCO Salud + Bienestar para tus mascotas

Unete a nuestros Petpartners!"
"Enfermero - Aplicador de vacunas Veterinario","ViVien Vacunación a Do...","CDMX","$14,000 - $16,000 Mensual",false,"Veterinaria - Agricultura","Médico veterinario","Universitario titulado","Permanente","Tiempo completo","Híbrido","Propósito del puesto

Brindar atención médica veterinaria profesional en la aplicación de vacunas a perros y gatos, ya sea en domicilio o en campañas organizadas por VIVIEN. Garantizar la seguridad, calidad y bienestar animal durante todo el proceso. Además, ofrecer orientación médica básica a tutores mediante consultas virtuales, resolviendo dudas pre y post vacunación.




Responsabilidades principales

Atención en domicilio (Realizar revisión física básica previa a la vacunación, aplicar la(s) vacuna(s) de acuerdo con lineamientos médicos y cadena de frío, llenar consentimiento informado y obtener firma digital o física del tutor, registrar cita y firma de aplicación en el sistema y ofrecer recomendaciones post-vacunación al tutor)
Campañas de vacunación (Participar en el montaje y operación de campañas masivas (parques, fraccionamientos, eventos),
. Consultas en línea (vía WhatsApp, plataforma o videollamada) Atender dudas básicas sobre protocolos de vacunación, síntomas postvacunales o requerimientos previos.
Actividades administrativas inherentes al puesto




Formación requerida

Médico Veterinario Zootecnista (MVZ) titulado o pasante con carta de pasantía vigente.
Deseable: Diplomado o experiencia en vacunación, medicina preventiva y bienestar animal.

Experiencia previa

Mínimo 1 año en atención clínica o vacunación de perros y gatos.
Deseable experiencia en atención domiciliaria o campañas comunitarias.

Conocimientos técnicos

Manejo de esquemas de vacunación en perros y gatos.
Identificación de signos clínicos básicos.
Manejo y contención segura de animales.
Bioseguridad, higiene y cadena de frío.
Deseable: conocimientos básicos de plataformas digitales de atención o CRM.

Competencias

Trato amable y empático hacia tutores y animales.
Alta responsabilidad y profesionalismo.
Puntualidad y manejo eficiente del tiempo.
Resolución de problemas y toma de decisiones básicas.
Adaptabilidad a campo y trabajo en movimiento.
Buena presentación e higiene personal."
"Gerente de operaciones de cadena de suministros / giro restaurantero","SEALN","Tlalnepantla de Baz,, Edo. Méx.​","$40,000 - $50,000 Mensual",false,"Manufactura - Producción - Operación","Operaciones","Universitario sin titulo","Permanente","Tiempo completo","Presencial","¡Forma parte de nuestro equipo en PERROS Y BURROS!




Buscamos Gerencia de operaciones de cadena de suministros para liderar y optimizar nuestras operaciones en el sector de restaurantes y alimentos.







Necesitas para aplicar:

Experiencia en cadenas de suministros giro restaurantero, alimentos prerecedeos, comisariato
Licenciatura en Ingeniería Industrial, Administración de Empresas, Logística, Comercio Internacional, Finanzas o afines.
Lunes a viernes de 07:00 a 17:00 hrs y sabado de 07:00 a 12:00 hrs
Tlalnepantla de Baz, frente plaza Fashion Mall




Compensación:

Sueldo libre mensual $40,000 mil
Bono mensual $20,000 mil
Prestaciones de ley




Responsabilidades clave:

Gestión estratégica de la cadena de suministro, con un enfoque especial en la industria de productos perecederos
Optimización de costos, implementación de estrategias de mejora continua y sustentabilidad
Gestión de presupuestos importantes y proyectos enfocados en la eficiencia operativa y la diversificación de proveedores
Gestión de logística
Colaborar con los equipos de producción para planificar y gestionar la producción de alimentos
Planificar y coordinar la logística de recepción, almacenamiento y distribución de insumos
Realizar análisis financieros y elaboración de estados de resultados.




Conocimientos:

Planificación, análisis y pronóstico de la demanda, así como de costos de producción y distribución
Finanzas y costos
Procesos de certificación y auditorías de calidad alimentaria
Normativas de seguridad e higiene alimentaria (HACCP, NOM-251, ISO 22000).
Cadena de Frio
Producciòn, almacen, logistica y compras




Soft skills:

Liderazgo
Comunicaciòn asertiva
Toma de desiciones
Orientaciòn a resultados
Negociaciòn"
"Bañador canino Petco patio santa fé","UNIDAD DE SERVICIOS CO...","Álvaro Obregón,, CDMX","$8,875 - $10,040 Mensual",true,"Veterinaria - Agricultura","Estética canina","Secundaria","Permanente","Tiempo completo","Presencial","PETCO MÉXICO

Mascotas más Saludables, Personas más Felices

Bañador canino,




Requisitos:

· Trayectoria laboral de 1 año en el medio (ideal), estéticas caninas, fijas, móviles, guarderías, hoteles o a fin.

· Haber desempeñado el puesto durante 3 meses, o baño de mascotas propias, nosotros te capacitamos

· Conocimientos básicos protocolos de seguridad e higiene

· Conocimiento básico en comportamiento canino

· Generales en razas de perros, razas

· Manejo de mascotas o mascotas propias

· Generales en bienestar animal

· Herramientas de trabajo acordes a la actividad







Funciones:

· Cuidado, la atención, seguridad y bienestar de los animales durante su estancia en la estética animal

· Uso y manejo todas las instalaciones, sistemas, equipos, herramientas y servicios necesarios para la operación diaria de la estética animal

· Inspección visual de manera minuciosa sobre el estado de salud general del perro

· Brindar información necesaria sobre costos de los servicios de estética, promociones, términos, condiciones y políticas generales

· Venta complementaria de productos, mercancías y artículos de la tienda

· Ejecutar los protocolos establecidos de sanidad, higiene y limpieza de las instalaciones, sistemas, equipos y herramientas

· Ejecutar el protocolo establecido para el abasto y resurtido de los insumos necesarios en el área de baño de los animales




Habilidades:




· Gusto por los perritos

· Actitud de servicio al cliente

· Manejo del estrés

· Empatía

· Ordenado

· Paciente

· Disciplinado

· Carismático




Beneficios:

Contratación directa por la empresa
Esquema 100% nominal
Seguro
Aguinaldo
Vacaciones
Caja de ahorro
Programa de útiles escolares
Programa de lentes
Oportunidad de desarrollo
Oportunidad de crecimiento laboral
Estabilidad laboral"
"Técnico en alimentación y cuidado de las mascotas","Adecco","Qro.","Sueldo no mostrado por la empresa",true,"Administrativo","Administración","Universitario titulado","Permanente","Tiempo completo","Presencial","Técnico de alimentación y cuidado de las mascotas

UBICACIÓN: QRO

El enfoque de este rol es proporcionar cuidado diario a las mascotas en el Centro de Mascotas. El Cuidador de Mascotas es el responsable de garantizar el bienestar de los perros y gatos en el Centro de Mascotas. Responsable de todas las actividades de socialización y enriquecimiento del programa de asistencia social. Además, es el responsable de la alimentación y el riego en función del horario de los ensayos.

Qué estamos buscando?
Atención al detalle
Disciplina
Confidencialidad
Manejo Excel, Power Point, algún software (captura de datos)
Conocimientos básico de computación
Convivencia y manejo de mascotas
Entrenamientos de adiestramiento
Lleno de bitácoras, generación de reportes
Cuáles serán las responsabilidades principales?
Cuida de los perros y gatos en el Centro de Mascotas.
Ejecutar el programa de socialización (incluido el aseo), actividades para que las mascotas mantengan sus sentidos estimulados y libres de estrés para evitar cualquier impacto en el rendimiento de las pruebas.
Ejecutar las actividades del programa de control de peso.
Notifique a los veterinarios cuando se note un cambio en la salud y el comportamiento de cualquier mascota.
Ejecutar la alimentación y el riego.
Ejecutar ensayos, cumpliendo con los estándares metodológicos y documentar toda la información asegurando la confiabilidad en los resultados.
Recogida y evaluación de la calidad de las heces.
Asegúrese de que la infraestructura esté bien mantenida y, en caso de cualquier problema, notifique al técnico de ensayos para su corrección, asegurándose de que se resuelva."
